customer_id,cart_product,candidate_product,co_purchase_count,candidate_price,cart_price,customer_aov,total_orders,accepted,candidate_price_ratio
C283,P005,P010,18,2999,59999,5331.48,3,1,0.04998416640277338
C283,P005,P025,0,1999,59999,5331.48,3,0,0.03331722195369923
C283,P005,P013,0,399,59999,5331.48,3,0,0.006650110835180586
C283,P005,P001,0,2999,59999,5331.48,3,0,0.04998416640277338
C283,P010,P005,18,59999,2999,5331.48,3,1,20.006335445148384
C283,P010,P030,0,199,2999,5331.48,3,0,0.06635545181727243
C283,P010,P006,0,999,2999,5331.48,3,0,0.33311103701233746
C283,P010,P019,0,4999,2999,5331.48,3,0,1.6668889629876626
C123,P019,P021,45,699,4999,2138.65,1,1,0.13982796559311864
C123,P019,P023,0,699,4999,2138.65,1,0,0.13982796559311864
C123,P019,P015,0,1999,4999,2138.65,1,0,0.39987997599519903
C123,P019,P024,0,999,4999,2138.65,1,0,0.1998399679935987
C123,P021,P019,45,4999,699,2138.65,1,1,7.1516452074391985
C123,P021,P020,0,1299,699,2138.65,1,0,1.8583690987124464
C123,P021,P023,0,699,699,2138.65,1,0,1.0
C123,P021,P014,0,1499,699,2138.65,1,0,2.144492131616595
C078,P018,P016,38,6999,2999,14723.62,3,1,2.3337779259753253
C078,P018,P019,0,4999,2999,14723.62,3,0,1.6668889629876626
C078,P018,P024,0,999,2999,14723.62,3,0,0.33311103701233746
C078,P018,P028,0,1799,2999,14723.62,3,0,0.5998666222074025
C078,P016,P018,38,2999,6999,14723.62,3,1,0.42848978425489354
C078,P016,P013,0,399,6999,14723.62,3,0,0.057008144020574365
C078,P016,P021,0,699,6999,14723.62,3,0,0.09987141020145734
C078,P016,P028,0,1799,6999,14723.62,3,0,0.25703671953136165
C024,P011,P014,20,1499,29999,11924.14,8,1,0.04996833227774259
C024,P011,P023,0,699,29999,11924.14,8,0,0.023300776692556417
C024,P011,P001,0,2999,29999,11924.14,8,0,0.09996999899996667
C024,P011,P018,0,2999,29999,11924.14,8,0,0.09996999899996667
C024,P014,P011,20,29999,1499,11924.14,8,1,20.012675116744497
C024,P014,P006,0,999,1499,11924.14,8,0,0.6664442961974649
C024,P014,P024,0,999,1499,11924.14,8,0,0.6664442961974649
C024,P014,P003,0,299,1499,11924.14,8,0,0.19946631087391595
C290,P023,P022,54,4999,699,1300.69,7,1,7.1516452074391985
C290,P023,P008,0,1999,699,1300.69,7,0,2.859799713876967
C290,P023,P015,0,1999,699,1300.69,7,0,2.859799713876967
C290,P023,P014,0,1499,699,1300.69,7,0,2.144492131616595
C290,P022,P023,54,699,4999,1300.69,7,1,0.13982796559311864
C290,P022,P012,0,799,4999,1300.69,7,0,0.15983196639327865
C290,P022,P011,0,29999,4999,1300.69,7,0,6.001000200040008
